orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725582,34,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725592,12,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,8.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,05,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,270.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,OTROS,activo,1,-3
77725592,10,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,08,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,200.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,"MATERIAL ELÉCTRICO PARA LUMINARIAS (PRENSAESTOPAS, BORNERAS, CONECTORES, FUSIBLES, FILTROS, ENTRE OTROS)",activo,1,-3
77725592,14,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,140.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,03,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,190.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,-3
77725592,04,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,160.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,-3
77725592,07,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,130.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,-3
77725592,13,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,55.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,15,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,480.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,-3
77725592,09,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,60.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,06,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,250.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,-3
77725592,11,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,45.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,-3
77725592,01,01,2024-11-01,2024-09-20,Friday,September,2024,2024-09-17,611520598,2020-09-08 15:32:13.810,2000.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,CAJAS/SEPARADORES,activo,1,-3
77725579,01,01,2024-10-29,2024-10-08,Tuesday,October,2024,2024-10-11,202127537K,2022-06-07 14:42:20.473,1216.0,SINGAPORE,AEREO,OZ,GIRO ANTICIPADO,CONJUNTO ELÉCTRICO LED,activo,0,3
77724452,01,01,2024-10-28,2024-10-06,Sunday,October,2024,2024-10-16,363703046,2020-02-19 14:49:58.797,1000.0,ESTADOS UNIDOS,AEREO,KG,GIRO ANTICIPADO,BAJO PEDIDO,activo,0,10
77725465,01,01,2024-10-28,2024-10-06,Sunday,October,2024,2024-09-29,913101137547647,2019-02-22 08:06:31.037,1500.0,CHINA,AEREO,OZ,GIRO ANTICIPADO,PROGRAMA VARIOS,activo,1,-7
77724904,01,01,2024-10-24,2024-09-26,Thursday,September,2024,2024-10-07,52770948000200,2020-06-17 12:28:42.073,7.0,BRASIL,MARITIMO,OZ,A 60 DIAS,KITS Y PARTES PARA PROTECCIONES CONVENCIONALES,activo,0,11
